record,metric,ALL,AC,DC,beats_per_window,edge_weight,direction,freq_domain
1BN18COELA_Myo,maximum_flow_value_left_to_right,0.010803934550673524,-0.02965593621088153,0.07168937195310979,4,None,None,False
1BN18COELA_Myo,shortest_path_length_left_to_right,-0.012097710136545174,0.029025938122036868,-0.02445431735743413,4,None,None,False
5L2QL31NFO_Myo,minimum_cut_value_left_to_right,0.04271506484132091,-0.062479938982302204,0.1675000852147391,4,None,None,False
5L2QL31NFO_Myo,maximum_flow_value_left_to_right,0.04271506484132091,-0.062479938982302204,0.1675000852147391,4,None,None,False
5L2QL31NFO_Myo,shortest_path_length_left_to_right,-0.010152244542773525,0.01499350809920458,-0.017693091255583233,4,None,None,False
0QH2ZTM3BZ_Myo,minimum_cut_value_left_to_right,-0.0038966126661725315,-0.041603353777031664,0.030762438078145302,4,None,None,False
0QH2ZTM3BZ_Myo,maximum_flow_value_left_to_right,-0.0038966126661725315,-0.041603353777031664,0.030762438078145302,4,None,None,False
0QH2ZTM3BZ_Myo,shortest_path_length_left_to_right,0.03142544319373763,-0.03161714086252056,0.11670219853483592,4,None,None,False
2CRP55PZA6_Myo,minimum_cut_value_left_to_right,0.020493850436498505,0.01564972071868274,0.06599791478991571,4,None,None,False
2CRP55PZA6_Myo,maximum_flow_value_left_to_right,0.020493850436498505,0.01564972071868274,0.06599791478991571,4,None,None,False
2CRP55PZA6_Myo,shortest_path_length_left_to_right,-0.03858663583871871,-0.04686671224864403,0.14120890614283876,4,None,None,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,-0.03611950959393676,-0.0426313280468897,-0.032405641530421865,4,h_distance,None,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,-0.03611950959393676,-0.0426313280468897,-0.032405641530421865,4,h_distance,None,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,,,,4,h_distance,None,False
5QKQFM8NVM_Myo,minimum_cut_value_left_to_right,0.011656386821655942,-0.0390364138894605,0.12288032905345138,4,None,None,False
5QKQFM8NVM_Myo,maximum_flow_value_left_to_right,0.011656386821655942,-0.0390364138894605,0.12288032905345138,4,None,None,False
5QKQFM8NVM_Myo,shortest_path_length_left_to_right,-0.02065087241384862,-0.019121992438357827,-0.003620440286424448,4,None,None,False
3333VKINUN_Myo,minimum_cut_value_left_to_right,0.009611972818989935,-0.0834777445798082,0.15654228563291508,4,None,None,False
3333VKINUN_Myo,maximum_flow_value_left_to_right,0.009611972818989935,-0.0834777445798082,0.15654228563291508,4,None,None,False
3333VKINUN_Myo,shortest_path_length_left_to_right,-0.00028209633190102654,0.052188664751736225,-0.035004520283071196,4,None,None,False
4MV6IIZVR5_-,minimum_cut_value_left_to_right,0.014314008577120313,-0.0328514622993016,0.09193557929573085,4,None,None,False
4MV6IIZVR5_-,maximum_flow_value_left_to_right,0.014314008577120313,-0.0328514622993016,0.09193557929573085,4,None,None,False
4MV6IIZVR5_-,shortest_path_length_left_to_right,-0.0015177180954076223,0.037407538631364624,0.004850659574480106,4,None,None,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,-0.032469744906112104,-0.038411803465671655,-0.04134145318666255,4,h_distance,left_to_right,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,-0.032469744906112104,-0.038411803465671655,-0.04134145318666255,4,h_distance,left_to_right,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,,,,4,h_distance,left_to_right,False
3QPGYYQXVM_Myo,dag_longest_path_length,,,,4,h_distance,left_to_right,False
266QSB33ZW_-,minimum_cut_value_left_to_right,-0.04561618470898399,-0.08925717715065119,0.05448534462421014,4,None,None,False
266QSB33ZW_-,maximum_flow_value_left_to_right,-0.04561618470898399,-0.08925717715065119,0.05448534462421014,4,None,None,False
266QSB33ZW_-,shortest_path_length_left_to_right,0.019466845135666794,0.04636469533115666,0.0033770638707085123,4,None,None,False
24ANGXTY94_Myo,minimum_cut_value_left_to_right,-0.032532036953408366,-0.014007344465881972,0.00735848248561869,4,None,None,False
24ANGXTY94_Myo,maximum_flow_value_left_to_right,-0.032532036953408366,-0.014007344465881972,0.00735848248561869,4,None,None,False
24ANGXTY94_Myo,shortest_path_length_left_to_right,0.019519061593267203,0.024178174091213832,0.03696256655780311,4,None,None,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,-0.03611950959393676,-0.0426313280468897,-0.032405641530421865,4,abs_h_distance,None,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,-0.03611950959393676,-0.0426313280468897,-0.032405641530421865,4,abs_h_distance,None,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,,,,4,abs_h_distance,None,False
42VVA1T8Y9_Myo,minimum_cut_value_left_to_right,0.010991838543693257,-0.010229640082716575,0.06082729586026883,4,None,None,False
42VVA1T8Y9_Myo,maximum_flow_value_left_to_right,0.010991838543693257,-0.010229640082716575,0.06082729586026883,4,None,None,False
42VVA1T8Y9_Myo,shortest_path_length_left_to_right,-0.002355668221515011,0.007570588220879019,0.02234697221234968,4,None,None,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,-0.032469744906112104,-0.038411803465671655,-0.04134145318666255,4,abs_h_distance,left_to_right,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,-0.032469744906112104,-0.038411803465671655,-0.04134145318666255,4,abs_h_distance,left_to_right,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,,,,4,abs_h_distance,left_to_right,False
3QPGYYQXVM_Myo,dag_longest_path_length,,,,4,abs_h_distance,left_to_right,False
0P21TAA273_Myo,minimum_cut_value_left_to_right,0.031951728418008675,-0.04751155877547754,0.16648030114922158,4,None,None,False
0P21TAA273_Myo,maximum_flow_value_left_to_right,0.031951728418008675,-0.04751155877547754,0.16648030114922158,4,None,None,False
0P21TAA273_Myo,shortest_path_length_left_to_right,-0.0025891735097603842,-0.020885588505479898,0.03319214009837671,4,None,None,False
14N1AVNKK8_Myo,minimum_cut_value_left_to_right,0.04268447971545376,-0.02375776850357117,0.12487188098225611,4,None,None,False
14N1AVNKK8_Myo,maximum_flow_value_left_to_right,0.04268447971545376,-0.02375776850357117,0.12487188098225611,4,None,None,False
14N1AVNKK8_Myo,shortest_path_length_left_to_right,-0.020050007111233,0.039885924137940953,-0.029000786389347808,4,None,None,False
3QIXI1KT4E_-,minimum_cut_value_left_to_right,0.041496186500673125,-0.01379382086354759,0.1011545544090291,4,None,left_to_right,False
3QIXI1KT4E_-,maximum_flow_value_left_to_right,0.041496186500673125,-0.01379382086354759,0.1011545544090291,4,None,left_to_right,False
3QIXI1KT4E_-,shortest_path_length_left_to_right,-0.02673731691258077,0.007550639060952656,-0.048457334205077036,4,None,left_to_right,False
3QIXI1KT4E_-,dag_longest_path_length,,,,4,None,left_to_right,False
1LQJVQ84PB_Myo,minimum_cut_value_left_to_right,-0.05759764577125194,-0.07028718028646684,-0.0331051187192455,4,None,left_to_right,False
1LQJVQ84PB_Myo,maximum_flow_value_left_to_right,-0.05759764577125194,-0.07028718028646684,-0.0331051187192455,4,None,left_to_right,False
1LQJVQ84PB_Myo,shortest_path_length_left_to_right,0.043484764248889606,0.03956968627984279,0.07506026217021321,4,None,left_to_right,False
1LQJVQ84PB_Myo,dag_longest_path_length,,,,4,None,left_to_right,False
1SU7TSDSEB_Myo,minimum_cut_value_left_to_right,-0.004866280839569018,-0.020132625081158196,0.06654026290453086,4,None,left_to_right,False
1SU7TSDSEB_Myo,maximum_flow_value_left_to_right,-0.004866280839569018,-0.020132625081158196,0.06654026290453086,4,None,left_to_right,False
1SU7TSDSEB_Myo,shortest_path_length_left_to_right,-0.0189449669609292,-0.014261518194792282,0.008780925775715159,4,None,left_to_right,False
1SU7TSDSEB_Myo,dag_longest_path_length,,,,4,None,left_to_right,False
1BN18COELA_Myo,minimum_cut_value_left_to_right,0.010803934550673524,-0.02965593621088153,0.07168937195310979,4,None,left_to_right,False
1BN18COELA_Myo,maximum_flow_value_left_to_right,0.010803934550673524,-0.02965593621088153,0.07168937195310979,4,None,left_to_right,False
1BN18COELA_Myo,shortest_path_length_left_to_right,-0.012097710136545174,0.029025938122036868,-0.02445431735743413,4,None,left_to_right,False
1BN18COELA_Myo,dag_longest_path_length,,,,4,None,left_to_right,False
0QH2ZTM3BZ_Myo,minimum_cut_value_left_to_right,-0.0038966126661725315,-0.041603353777031664,0.030762438078145302,4,None,left_to_right,False
0QH2ZTM3BZ_Myo,maximum_flow_value_left_to_right,-0.0038966126661725315,-0.041603353777031664,0.030762438078145302,4,None,left_to_right,False
0QH2ZTM3BZ_Myo,shortest_path_length_left_to_right,0.03142544319373763,-0.03161714086252056,0.11670219853483592,4,None,left_to_right,False
